X,Y,objectid,name,address,city,zip,island_dist,type,source
-157.847108763973,21.3009289180106,1,Kamaaina Kids - King Street Infant/Toddler Program,1054 King St,Honolulu,96814,Oahu,Licensed Infant/Toddler Center,PATCH
-157.966735499865,21.3930630001492,2,Kamaaina Kids Pearl City Infant Toddler Program,784 Kamehameha Hwy,Pearl City,96782,Oahu,Licensed Infant/Toddler Center,PATCH
-157.820080696714,21.2752237039386,3,Waikiki Community Center Preschool - IT,310 Paoakalani Avenue,Honolulu,96815,Oahu,Licensed Infant/Toddler Center,PATCH
-158.028752534556,21.3543765071831,4,Kamaaina Kids Cfs Ewa Infant Toddler Program,91-1841 Fort Weaver Road,Ewa Beach,96706,Oahu,Licensed Infant/Toddler Center,PATCH
-158.01685650047,21.4805249995902,5,Kamaaina Kids Mililani Tech Park Infant Toddler ,345 Kahelu Avenue,Mililani,96789,Oahu,Licensed Infant/Toddler Center,PATCH
-157.869987833047,21.3202496131689,6,Honolulu Community College-keiki Hauoli Cdl Infant,874 Dillingham Blvd,Honolulu,96817,Oahu,Licensed Infant/Toddler Center,PATCH
-157.847273999736,21.3057720003989,7,Kamaaina Kids Honolulu Toddler Program,930 Lunalilo Street,Honolulu,96822,Oahu,Licensed Infant/Toddler Center,PATCH
-156.447757298737,20.7508588306453,8,Kamaaina Kids Piilani Infant Toddler Program,10 Manino Circle,Kihei,96753,Maui,Licensed Infant/Toddler Center,PATCH
-156.487671013159,20.8867480912885,9,MEO Kahi Kamalii Infant Toddler Center,97 Mahalani Street,Wailuku,96793,Maui,Licensed Infant/Toddler Center,PATCH
-156.500839802943,20.8936704253393,10,MFSS Early Head Start Center- Wailuku,1844 Wili Pa Loop,Wailuku,96793,Maui,Licensed Infant/Toddler Center,PATCH
-157.802242737009,21.2817956550283,11,The Cole Academy Kaimuki IT Program,1041 10th Avenue,Honolulu,96816,Oahu,Licensed Infant/Toddler Center,PATCH
-157.857205564903,21.333846162306,12,Kamaaina Kids Alewa Heights Infant Toddler Program,1052 Ilima Drive,Honolulu,96817,Oahu,Licensed Infant/Toddler Center,PATCH
-157.749165000238,21.4221059997048,13,Kamaaina Kids Aikahi Infant Toddler Program,38 Kaneohe Bay Drive,Kailua,96734,Oahu,Licensed Infant/Toddler Center,PATCH
-157.8561434999,21.2982749996142,14,Stepping Stones Academy Infant And Toddler Program,860 Halekauwila St,Honolulu,96813,Oahu,Licensed Infant/Toddler Center,PATCH
-157.86233099971,21.3036660000983,15,Rainbow School Honolulu Infant & Toddler,300 Ala Moana Blvd #1-108,Honolulu,96813,Oahu,Licensed Infant/Toddler Center,PATCH
-156.673577798703,20.8706102983712,16,Kamaaina Kids Lahaina Infant Toddler Program,553 Wainee Street,Lahaina,96761,Maui,Licensed Infant/Toddler Center,PATCH
-155.998296441909,19.6707416907019,17,FSSWH EHS Teen Parent Center At Kealakehe ,"74-5000 Puohulihuli Street; Room J-102",Kailua-kona,96740,West Hawaii,Licensed Infant/Toddler Center,PATCH
-158.058514566297,21.326194645262,18,Kamaaina Kids Kalaeloa Infant Toddler Program,1965 Bougainville Avenue,Kapolei,96707,Oahu,Licensed Infant/Toddler Center,PATCH
-157.821437883261,21.2928272976136,19,Happy Keiki Infant & Toddler Program at University Avenue,1035 University Avenue,Honolulu,96826,Oahu,Licensed Infant/Toddler Center,PATCH
-155.070030350818,19.7055952638143,20,Hawaii Community College Children's Center ITC,1175 Manono Street,Hilo,96720,East Hawaii,Licensed Infant/Toddler Center,PATCH
-157.830389999678,21.2774310004318,21,Poppins Keiki Hawaii Infant And Toddler Program,2255 Kalakaua Avenue #434,Honolulu,96815,Oahu,Licensed Infant/Toddler Center,PATCH
-155.478696251735,19.1997485326232,22,Pahala Preschool Toddler Program,96-1225 Huapala Street,Pahala,96777,West Hawaii,Licensed Infant/Toddler Center,PATCH
-157.814134979705,21.2775280102711,23,Kamaaina Kids St. Marks Childrens Ctr Infant Toddl,539 Kapahulu Avenue,Honolulu,96815,Oahu,Licensed Infant/Toddler Center,PATCH
-157.731117673247,21.3837581862709,24,The Cole Academy Kailua I/T Program,780 Keolu Drive,Kailua,96734,Oahu,Licensed Infant/Toddler Center,PATCH
-155.920259492977,19.5063257769099,25,Jack&Helen Greenwell Family Dev Center,81-6493 Mamalahoa Highway,Kealakekua,96750,West Hawaii,Licensed Infant/Toddler Center,PATCH
-158.078807999751,21.3332490001203,26,The Cole Academy - Kapolei Infant And Toddler Program,1033 Ala Kahawai St.,Kapolei,96707,Oahu,Licensed Infant/Toddler Center,PATCH
-157.863388348704,21.3098585232497,27,Strode Montessori Mauka,36 Merchant Street,Honolulu,96813,Oahu,Licensed Infant/Toddler Center,PATCH
-157.728910500053,21.2827499996679,28,Kamaaina Kids Holy Trinity Infant Toddler Program,5919 Kalanianaole Hwy.,Honolulu,96821,Oahu,Licensed Infant/Toddler Center,PATCH
-156.669883785303,20.869256053682,29,MFSS Early Head Start Center- Lahaina,15 Ipu Aumakua Lane,Lahaina,96761,Maui,Licensed Infant/Toddler Center,PATCH
-157.945193714996,21.387698365922,30,Kamaaina Kids St. Timothy's Academy Infant Toddler,98-939 Moanalua Road.,Aiea,96701,Oahu,Licensed Infant/Toddler Center,PATCH
-156.363359192421,20.8994125319415,31,Aloha Kai Academy I/T,954 Baldwin Avenue,Paia,96779,Maui,Licensed Infant/Toddler Center,PATCH
-158.018899499709,21.4332839997914,32,The Cole Academy - Mililani Infant  And Toddler Program,94-359 Makohilani Street,Mililani,96789,Oahu,Licensed Infant/Toddler Center,PATCH
-158.172661739851,21.416797763088,33,Kamaaina Kids Maili Infant Toddler Program,87-227 St Johns Road,Waianae,96792,Oahu,Licensed Infant/Toddler Center,PATCH
-157.802177308825,21.413710977781,34,Kamaaina Kids Kaneohe Toddler Program,45-520 Keaahala Rd,Kaneohe,96744,Oahu,Licensed Infant/Toddler Center,PATCH
-157.734934838759,21.3712145652694,35,Kamaaina Kids Enchanted Lake Toddler Program,1425 Keolu Drive,Kailua,96734,Oahu,Licensed Infant/Toddler Center,PATCH
-156.000465115905,20.7755842953629,36,MFSS - Hale Hiipoi Infant Toddler Center,4111 Hana Hwy H-101,Hana,96713,Maui,Licensed Infant/Toddler Center,PATCH
-157.709886469367,21.2938116796958,37,Happy Keiki Preschool IT Center Hawaii Kai,6650 Hawaii Kai Drive,Honolulu,96825,Oahu,Licensed Infant/Toddler Center,PATCH
-157.85072129001,21.3231605059535,38,Kamaaina Kids Judd Street IT,45 Judd Street,Honolulu,96817,Oahu,Licensed Infant/Toddler Center,PATCH
-157.860480800341,21.3027035217192,39,Children With Aloha Academy IT Program,550 Halekauwila Street,Honolulu,96817,Oahu,Licensed Infant/Toddler Center,PATCH
-157.863896999751,21.3098130003112,40,The Cole Academy Queen's Court,"800 Bethel Street, Ste. 100",Honolulu,96813,Oahu,Licensed Infant/Toddler Center,PATCH
-158.006025000441,21.3862589999627,41,Stepping Stones Academy Infant And Toddler Center Waipahu,94-905 Waipahu Street #200,Waipahu,96797,Oahu,Licensed Infant/Toddler Center,PATCH
-155.850154043471,19.9452893289607,42,The Cole Academy-Mauna Lani,68-148 Hoohana Street,Kamuela,96743,West Hawaii,Licensed Infant/Toddler Center,PATCH
-157.813456500118,21.4093080001001,43,Ke Kula Kamalii `O Hanaiaulu,45-720 Keaahala Road #107,Kaneohe,96744,Oahu,Licensed Infant/Toddler Center,PATCH
-157.708999084632,21.2938403410415,44,Kinder Kids International Hawaii Kai Infant Toddler,6660 Hawaii Kai Drive,Honolulu,96825,Oahu,Licensed Infant/Toddler Center,PATCH
-157.812805059436,21.2686909408003,45,First Steps - Unity School,3608 Diamond Head Circle,Honolulu,96815,Oahu,Licensed Infant/Toddler Center,PATCH
-157.952812147864,21.3918285253245,46,Stepping Stones Academy Infant And Toddler Center,98-761 Oihana Place,Aiea,96701,Oahu,Licensed Infant/Toddler Center,PATCH
-157.91429595952,21.3465729738167,47,St Philomena Early Learning Center - Infant/Toddler Program,3300 Ala Laulani Street,Honolulu,96818,Oahu,Licensed Infant/Toddler Center,PATCH
-158.171755012999,21.4094199851073,48,Keiki O Ka Aina Family Learning Center Infant Toddler,87-790 Kulauku Street,Waianae,96792,Oahu,Licensed Infant/Toddler Center,PATCH
-157.742734606676,21.4030624600946,49,A Caring Place Infant And Toddler Program,260 North Kainalu Drive,Kailua,96734,Oahu,Licensed Infant/Toddler Center,PATCH
-157.853673817521,21.3041609319196,50,The Early Education Center Toddler Program,1130 Alapai Street,Honolulu,96813,Oahu,Licensed Infant/Toddler Center,PATCH
-155.092327781655,19.7241927459854,51,PACT Early Head Start Easter Seals ITC,41 Kaiulani Street,Hilo,96720,East Hawaii,Licensed Infant/Toddler Center,PATCH
-154.902471528559,19.548166370909,52,PACT Early Head Start Hawaiian Beaches ITC ,15-360 N. Puni Makai Loop,Pahoa,96778,East Hawaii,Licensed Infant/Toddler Center,PATCH
-156.497808792132,20.8876549869982,53,MFSS Early Head Start - Waiale,67 Waiale Road,Wailuku,96793,Maui,Licensed Infant/Toddler Center,PATCH
-157.96916550034,21.3929999998412,54,PACT Early Head Start At Leeward Health Center,860 Fourth Street #110,Pearl City,96782,Oahu,Licensed Infant/Toddler Center,PATCH
-158.171755012999,21.4094199851073,55,PACT Early Head Start Ka Pua,87-790 Kulauku St,Waianae,96792,Oahu,Licensed Infant/Toddler Center,PATCH
-157.891439637916,21.3328853821478,56,PACT Kahauiki Village Early Head Start ,2625 North Nimitz Hwy,Honolulu,96819,Oahu,Licensed Infant/Toddler Center,PATCH
-157.718445912968,21.3423049920816,57,PACT Early Head Start Job Corps Infant/Toddler Program,41-467 Hihimanu Street,Waimanalo,96795,Oahu,Licensed Infant/Toddler Center,PATCH
-157.876637186747,21.3381369651751,58,PACT Early Head Start KPT Portables,1485 Linapuni Street,Honolulu,96819,Oahu,Licensed Infant/Toddler Center,PATCH
-158.125635000038,21.5656109998412,59,PACT - Early Head Start At Waialua High School,"67-160 Farrington Hwy, Room V-101",Waialua,96791,Oahu,Licensed Infant/Toddler Center,PATCH
-157.822579447168,21.2944562328735,60,The Early School Young Childrens Program,2510 Bingham Street,Honolulu,96826,Oahu,Licensed Infant/Toddler Center,PATCH
-157.931679685903,21.3790933732901,61,The Growing Patch 24-Hour Children's Academy I/T CCC,"99-080 Kauhale St, #D14-15",Aiea,96701,Oahu,Licensed Infant/Toddler Center,PATCH
-155.987569084441,19.6745104238521,62,"Hawaii Montessori Schools; Kona Campus I/T Program",74-978 Manawalea Street,Kailua-kona,96740,West Hawaii,Licensed Infant/Toddler Center,PATCH
-158.004275359816,21.4693563636455,63,Cornerstone Early Education Center I/T,95-1080 Ukuwai St,Mililani,96789,Oahu,Licensed Infant/Toddler Center,PATCH
-157.697266306671,21.3332119643445,64,PACT Waimanalo Early Head Start,41-038 Wailea Street,Waimanalo,96795,Oahu,Licensed Infant/Toddler Center,PATCH
-157.787244354921,21.2806408353704,65,Wesley Childrens Programs Infant Toddler Program,1350 Hunakai Street,Honolulu,96816,Oahu,Licensed Infant/Toddler Center,PATCH
-156.501059600607,20.8901078609581,66,Piaget School of Maui,1931 East Vineyard Street,Wailuku,96793,Maui,Licensed Infant/Toddler Center,PATCH
